Gouvernorat;Commune
SIDI BOUZID;MENZEL BOUZAIENE
SIDI BOUZID;OULED HAFFOUZ
SIDI BOUZID;REGUEB
SIDI BOUZID;SABALAT OULED ASKER
SIDI BOUZID;SIDI ALI BEN AOUN
SIDI BOUZID;SIDI BOUZID EST
SIDI BOUZID;SIDI BOUZID OUEST
SIDI BOUZID;SOUK JEDID
SILIANA;BARGOU
SILIANA;BOUARADA
SILIANA;BOUROUIS
SILIANA;EL KRIB
SILIANA;GAAFOUR
SILIANA;KESRA
SILIANA;LAROUSSA
SILIANA;MAKTHAR
SILIANA;ROUHIA
SILIANA;SILIANA NORD
SILIANA;SILIANA SUD
SOUSSE;AKOUDA
SOUSSE;BOUFICHA
SOUSSE;ENFIDHA
SOUSSE;HAMMAM SOUSSE
SOUSSE;HERGLA
SOUSSE;KALAA KEBIRA
SOUSSE;KALAA SGHIRA
SOUSSE;KONDAR
SOUSSE;M'SAKEN
SOUSSE;SEBKHAT SIDI EL HANI
SOUSSE;SEBKHIT EL KABLA
SOUSSE;SIDI BOU ALI
SOUSSE;SIDI EL HENI
SOUSSE;SOUSSE JAOUHARA
SOUSSE;SOUSSE MÉDINA
SOUSSE;SOUSSE RIADH
SOUSSE;SOUSSE SIDI ABDELHAMID
TATAOUINE;BIR LAHMAR
TATAOUINE;DHIBA
TATAOUINE;GHOMRASSEN
TATAOUINE;REMADA
TATAOUINE;SAMAR
TATAOUINE;TATAOUINE NORD
TATAOUINE;TATAOUINE SUD
TOZEUR;DEGUECHE
TOZEUR;HAZOUA
TOZEUR;NEFTA
TOZEUR;TAMAGHZA
TOZEUR;TOZEUR
TUNIS;BAB BHAR
TUNIS;BAB SOUIKA
TUNIS;BARDO
TUNIS;BOUHAIRA
TUNIS;CARTHAGE
TUNIS;CITÉ EL KHADRA
TUNIS;EL MENZAH
TUNIS;EL OUARDIA
TUNIS;EL TAHRIR
TUNIS;EZZOUHOUR
TUNIS;HRAIRIA
TUNIS;JEBEL JELLOUD
TUNIS;KABARIA
TUNIS;LA GOULETTE
TUNIS;LA MARSA
TUNIS;MÉDINA
TUNIS;OMRANE SUPÉRIEUR
TUNIS;OMRANE
TUNIS;SABKHET SIJOUMI
TUNIS;SIDI EL BÉCHIR
TUNIS;SIDI HASSINE
TUNIS;SIJOUMI
TUNIS;UNKNOWN
ZAGHOUAN;BIR MCHERGUA
ZAGHOUAN;FAHS
ZAGHOUAN;NADHOUR
ZAGHOUAN;SAOUAF
ZAGHOUAN;ZAGHOUAN
ZAGHOUAN;ZRIBA
